,commentor,comment
56,Fayaz Mohammad,"at first I thought typescript wasn't so useful. But now, I practically never use javascript now-a-days"
57,venkat ramarao,Can you please start new course on django?
58,Harshad Birajdar,I was just thinking about to learn Typescript and your video came
59,Aman soni,"Great timing , before Apple  event "
60,theRKshow,Excited very much 
61,Royal Royal,Wait is over ️
62,Scripty Vijay,Too much excited 
63,Sharad Aade,Nice 
64,Yash Tripathi,
65,study,"yeah, that's true. I started writing Typescript a month ago. Now I don't want to go back to JavaScript."
66,Binayak Chakraborty,Lessgooo! 
67,Abhay Tiwari,Les Gooooooooo 
68,Piyush Jani,Excited
69,AV Gaming,Exited
70,Arbab Sultan,Are you have React video series??
71,Pankaj Thapaliya,So it's going to be YouTube only or we will have it at LCO as well?
72,Mbs Yaswanth,Typescript in 2022
73,SIDDHARTH SINGH,Lets goo
74,Saket Jha,1st view!!
75,Ajitesh Mishra,lesssss gooooooo
76,Syed Masum,is it like java
77,Mayank Sharma,Looking forward to it Sir!!!
78,Mayank Sharma,Looking forward to it Sir!!!
79,Atanu Malik,"If it is going to be project based then the series will be more fun. Anyway, I am so excited."
80,Charan Singh Sanjay,Really waited for a very long time !!! Thank you so much for this series.
81,rAHUL kr,please start it. I am so excited about this.  Your way of teaching seems appealing to me.
82,Rahul Raj,"Sir, Will there be again live classes related to full stack JavaScript web developer program?"
83,Md Ariful Islam,thanks bro! i was feeling sad because of non-paid courses
84,Satyam,"sir, is this series beginner friendly or little bit of javascript fundamentals required to follow this series."
85,Sachin,Great like always.I have fear of using typescript that's why i didn't use angular.
86,Sandeep,Guys buckle up to restart the journey 
87,vishal mane,"Hi @Hitesh sir, i was planning to buy full stack javascript course but there are 2 full stack stack javascript courses which one should i buy the one which is gioing to start in october or the one which is aleaready started in july, please reply"
88,sagar,Was eagerly waiting for this
89,Shyamendra Hazra,"Finally the wait is over, let's roll again "
90,Messiah,Sir you can work on advanced golang projects ️️
91,Shubham Kamble,I can't wait anymore 
92,Saurabh Kumar,Will you go in depth of js topics??
93,firos Iam,Do It a more project based series if you can
94,B. Deepika,"Sir , please start web development on you tube"
95,Sagar Goureddy,thank you Sir :)
96,Sumit kumar,Great news!!! Thanks a lot.
97,Sharad Aade,Sir please start web development
98,PRATEEK JHA,Finally...u heard me...
99,Luv Official,"Hi hitesh, when you will bring your full stack bootcamp 2.0"
100,Raj Mahajan,Finally Let's roll it
101,Manish Sharma,Thank you 
102,venkat chalam,Thank u so sir
103,I B Kumar,"tNice tutorialngs work. I do read so stuff in the manual but there is a lot, or I try to find tNice tutorialngs on youtube. So more help will be appreciated."
104,Naaz J,Please post regularly
105,Ritik Gupta,Thank you very much
106,Aman soni,Typescript ️
107,KUMAR SARVESH,Very lovely  
108,Tejas,Thank you
109,Coder.MVerma,Thanks.
110,Harshad Birajdar,Waiting for videos
111,SWADHIN DHARA,️️
112,Nitin kudesia,Thanks@hitesh
113,Md. Asif Al-Mahmud,Wow
114,Ashutosh Maurya,Excited.....
115,Sumanth,Exploiting Javascript/Typescript
116,Shiv Kumar ojha,"Whatever the name will be, we know we get best quality education...."
117,akash,Waiting
118,Onkar haldar,️
119,Praxss,Please stick to video format. Live streams are not best use of time
120,kirthi itagihal,Vue js
121,saquib rock,Javascript Marathon 2.0
122,Mukund Mallick,Please change thumbnail 
123,Mihir Adarsh,First️
124,Shubham Upadhyay,Hello Hitesh Mai Aapka ek Interview dekha tha jisme aapne incubator Ke Bare mein batya tha Mai ek innovation startup suru karane ja raha hu jisme aapka support chahiye. PLZ Reply @Hitesh Chaudhary
125,ANAND KUMAR GUPTA,"Hello Hitesh,

I just wanted to know one thing: The ""Devops "" course comes with job assistance but with a condition that I have to also do an internship with Ineuron.

My problem is that I am working for an MNC as a full-time employee, so how can I do an internship simultaneously?

If I am not doing an internship from Ineuron, then I will also be given job assistance or not.

Happy Teachers' day to you!"
126,Demon Legit,"I want to thank you , you saved me from going into ISA with your vid on that, I have a 2 year gap between my education for financial reasons, and was scared I won't get offers on campus, I didn't, but I got good at programming in 6 months, going from discrete maths all the way to comp coding. Confident I can crack any job I'm in my 7th sem, no on campus offers but offcampus 17 lpa, all self study , free moocs some tough books and selfless mentors like you."
127,Exam Solu,Kindly include this course in tech neuron package..
128,Manpreet Dhaliwal,"Already have few of your courses in progress RN, can't afford time for another one but devOps is something in demand and it is really hard to find good devOps engineer  it took our company almost month to find 2 good engineers. so if someone have both time and money I will surely suggest them to take this course."
129,Biswajit Pradhan,"Hi sir,
Thank you for bringing this course for us.
I have one question after completion of this course can we get our hands on real time projects.so that after completion it we can easy sat on interview"
130,Sudhanshu Tripathi,Sir the way you explain and way of communication is great
131,Dhairya Patel,Great course sir. I have one question that this live lessons will be recorded right? Means if I miss 1 lecture then I can see the recordings?
132,Aryan Kumar,"i wish there were pre-recorded videos which i could watch and finish up in a month or two, with doubt clearing forums...... as a person looking to learn skills not to get a job but advance their free lancing skills  this is a bit too long sir 6-8 months"
133,Gaurav Maurya,"Hi Hitesh, I am working in an azure based cloud environment. Will it not pose problems for me as all the learnings are based on aws  in your course ?"
134,Lokesh,Much awaited course sir
135,Anirudh,Top notch quality delivered! 
136,Techno Spark,I remember you told that you will provide courses with nominal fee. I could see that fees are getting increased day by day. I do respect your effort but 12-13k is much for person who is not earning. I have a more respect for khan Sir who has created courses for just 130 Rs. and he is proving it. I have seen that people first start with free youtube videos and slowly open a company then start charging high. That is what happening now a days.
137,Raju Singh,Hi Hitesh thanks for making this video I just wanted to know more like course Fee classes timings n all??
138,Maheen Kabeer,Continue the js course. Be consistent
139,Akash Vinchankar,Hey hitesh what dont you upload the udemy courses in 1080p? Its will be more helpful if you can do that
140,fuad man city,"already buy the course , cant wait to start :)"
141,Suyash Sharma,Looking forward to it!!!
142,GShan,"I just cleared solutions architect on 29th August.
Aiming for developer associate and devops engineer professional next.
I referred Neal Davis' courses from udemy for aws cloud certs.
But now I ll refer ur course too."
143,TrainWithShubham,This Looks amazing. Congrats and all the best @Hitesh Choudhary sir
144,Ak,is it included in tech neuron?
145,Mubashir CK,"hi Hitesh, can we do the course on self paced?Will the recording of session be available for later?"
146,Shubham Lipane,"Please add this course in tech neuron, at least its recodings"
147,Exam Solu,Will we get labs for testing and practice??
148,Alok Kumar Mallik,"Hi Hitesh,
This looks great.However have couple of questions..

1.Does it cover build tools like Maven,graddle  etc
2.Does it cover Artifacts management like Nexus
3.It covers AWS services for Devops or regular devops as well cause some companies still use the regular form of devops without cloud"
149,Partha Sarathi Mondal,"Hi hitesh, will it be included in tech neuron package ?"
150,WASIF ALI MA K BHUSRA PXTANI,"Skills needed 1 cloudops 2022 not devops 2 whatever projects migration + security + mix match clouds ( streaming aws and paas azure and k8 gcp) 
Cluster troubleshoot with proper networking and Linux skils"
151,Sounak Pattadar,please include this course in tech neuron. It really pains after so much of promise from ineuron they are not adding their best courses to the tech neuron platform.
152,Rahul,"Pls include this course in tech neuron. I purchased one neuron for 25k and so, Its request to pls upload such useful courses."
153,Vikramkhandelwal Khandelwal,How to join sir I have passed out in 2019 and my branch was civil engineering and I have no knowledge in coding am i eligible to join this course?
154,Sanjeev,Can we start after few months? Will we have new batch later?
155,KUMAR SARVESH,love this !
156,OLJ,"We miss him, thank God he is looking great"
157,Yash Singh,Hello sir. I have registered for Accenture Innovation Chllenge. Can you please suggest me some tips to win this challenge?
158,Vignesh Shetty,Like your music collection this time it's Lu-Ni - Vamos a La Oscuridad. 
159,anix umoh,"Hitesh i have paid for the course already, please when will the live session start and are we going to be notified via email for paid users?"
160,WASIF ALI MA K BHUSRA PXTANI,Mock interviews is key and  honestly you get zero jobs without netpractise
161,Code WALA,"after course completion ,will there be placement assistance or job reference, referral ."
162,Kovendan Ragupathi,"@Hitesh, only request from us,can you please upload lco pro courses in 1080p."
163,Praxss,will this course helpful for someone who is Jr Devops engineer? I already know how ci-cd pipelines works and also know version controlling system. So shall I take this or prepare on my own by getting experience
164,Shreshth Srivastava,Prerequisite for learning devops?
165,Ak,"Hi sir, earlier Krish sir had said in his video (promotional) that all upcoming live classes except for job guaranteed one will be available under one neuron. But this course is not there, why sir?? Please do something."
166,Gaurav Abhishek,Will it be available on One Tech neuron ?
167,V ARAVINDH KUMAR,Hey hitesh is this course ll be added in one neuron???
168,Sharon Leah Olang',"Can you signup for the course even if you are not in india? If i can, will i be eligible for the job assistance program as well?"
169,parth trivedi,Include some projects as well
170,chandra mohan reddy,Thank you sir
171,mic009,Can I take this course early next year?
172,Shyamendra Hazra,Always waiting for the notification 
173,Singh,Must buy!
174,Adrian -,"Publish it on Udemy, please"
175,Sai Raghavesh,Thankyou tnx a lot for bringing this
176,rohit bahuguna,Got introduced to REST API! #learnbydoing
177,Nikhil Bansod,@Hitesh Is their any prerequisite for DevOps course
178,Rocking rocker,"Im a 3rd student rn, is it okay to start learning by taking this course right now?"
179,WASIF ALI MA K BHUSRA PXTANI,Include all projects don't just stick java projects as all are doing better watch Ashok it demo
180,Tanvi Ghildiyal,"nice video, pls make video on tata imagination cahllenge"
181,UDAY,"What is last date to enroll in course, May I enroll on 1st of october?"
182,NMV,"I am already in full stack js course, can i take this course? Please reply sir"
183,ologungbara david,"excited about this, but can I join the course midway."
184,WASIF ALI MA K BHUSRA PXTANI,Just strengthen 3. Docker    terraform   kuberntes you get job. Don't spend time useless things skipping proper networking and security  no one makes base clear
185,sai teja,Is flutter good to make advance VFX editing mobile app and desktop app
186,Luv Official,"Hi Hitesh, am confused why you have not launched this course with job guarantee like JavaScript... Plz ans."
187,Chowdhury Towhid Ahmed,Is Lab  include in this boot-camp
188,Mohit Jain,K8s stopped docker support from version 1.24
189,kolasani saipavan,Is it suitable for a beginner's
190,Krishna Gupta,nice initiate sir
191,s pal,Really interested in this.
192,Vaibhav Shewale,even if i want it so bad i still can't afford it 
193,Gaurav,Hitesh sir lco is best and affordable but ineuron is very expensive for us and moreover you are not working as before
194,Rohan Sharma,Price is too good for the content
195,Ayush sharma🍁₹,"Biotechnology pass out with 2 nd division English language knowledge is very low can I get a good package job in IT sector B E please help me please please. ( Which course is perfect for me data science course, javascript full stack developer course,Java , python programming etc so much confusion"
196,Mujtaba M,your video quality is just soooooo CRISP!
197,Gaurav Sharma,Lco is not working on any linux operating system please assist
198,Mohd Faheem,Can this course help in azure devops
199,Big Data,Devops course means devops colour 
200,Rosnal Rajan,What about Azure fans ?
201,Hope,Is this for lco pro?
202,Arvind kumar G,How to join this course 
203,ANKIT NEMA,"if I want to switch my career, which is better Could Engineer or Data Engineer"
204,Ranjith Thambithurai,is this part of tech neuron ?
205,Gaurav Sharma,did anyone managed to get lco working on linux os it doesnt work on any browser on linux even in android phone only the first video plays then it stops working please help me
206,Nikhil,Nice T-Shirt
207,Ayush Shende,The course looks very costly!
208,Shreshth Srivastava,PREREQUISITE for learning devops????
209,krishna n,Ad even security DevSecOps
210,MUTHU VALLI 3,First HITESH SIR...
211,Natherma Nafees,Is this course beginner friendly?
212,Sunil Meshram,#saveshwetabhgangwar
213,Ahsan Ali,can i join program from pakistan to get a job
214,Pranav Salunkhe,"Hi Hitesh,

I've some queries which i want to clear, i've updated the same on the website but its been 2 days and still ive note received any call or response from your team. 
can you please arrange call back so i can get my doubts clear. 

thanks in advance. :)"
215,Siddhesh Abnave,Sir any course on front-end developer?
216,Sahana Venkatesh,Thank you so much for your support for the coding community and encouraging ppl more towards coding. I was more motivated towards coding watching and practicing the code from your courses... thank you once again..
217,Nishant Singh,"Your courses are always the best available courses online be it any course on ml, react, Django, etc. This latest ios course will help many students including me who want to learn swiftUI for sure since it's LCO assured which means quality of content will be awesome as always ️"
218,Polo B,"Working on iOS app development for more than 3 years, still i m joining this course because

1. Worked on UIKit and I want to learn SwiftUI.

2. After all Hitesh Sir is the instructor. So, definitely Its going to be an awesome course. It will help me to brush up my existing skills and I will learn a lot of new things.

Thanks  Sir."
219,Rohit Jangid,"Finally for iOS development, 
I was waiting for this having hopes that something will be there for iOS developers! 
Thank you so much Hitesh Sir ️"
220,Prayash Shrestha,Waiting eagerly to be a part of this amazing course with one the best mentor
221,Rajeshwar Reddy,Thank you sir for giving us this great opportunity.. I ‘m excited to be part of this iOS course… your YouTube videos helped me in my learning a lot…
222,Vishnu singh Shekhawat,"Sir first of all very very thanks for this wonderful opportunity. 
Secondly keep it up . 
India needs revolution in its educational system and you are doing great  "
223,Amit Dey,"Thank You for bringing such kind of course by you..
I am very much excited for that course eagerly waiting for.
Once again thank you sir...."
224,thomas deepakreddy,"Happy to hear from you hithesh, great initiative, looking forward for the course."
225,Rohit Dhaker,"Thank you so much Hitesh Sir!
Since last few days I was finding the course
But now I found the best.
Thanks again sir!!!"
226,Prakash Singh,Really waiting for this course 
227,Sritaj Patel,"Was waiting for it, thank you very much for bringing it."
228,Vikas 0018,Thank u for couse sir but what’s difference between udemy ios course and lco ios course u released recently
229,Sunil Poonia,Missed the giveaway. But always love your efforts ️️
230,Devansh Sadhotra,"and i got this , thank you so much for this wonderful course. this made my day, happy Ganesh Chaturthi to all"
231,TRIPSTER GAMING,The first thing you said applies on Android development too.. Kindly pls make an Android dev course too..
232,Vishwajeet Kadam,Thank you hitesh for this course
233,Hindutava | हिन्दुत्व,will you also provide source code as well here?
234,Akshat Sharma,Thanks sir for this cource 
235,Sujith Manjavana,"Please make a course on advanced backend development that includes nginx, redis, load balancing, Linux performance tuning, websockets, etc."
236,Nikhil Deshmukh,Any plan of android app development course in Kotlin with Jetpack Compose in future?
237,Anil Khairnar,Love it truly ️
238,varunrithvik gudluru,Hello sir can u make some courses on Android Development with Java
239,YOGESH LATE,Enrolled along with 2 others ️. Thank you for giveaway we just wanna start and you're video came in the notification. 
240,Rahul Ahire,"I know Udemy doesn't give you margins, so I want to know where should I get this course from LCO or Udemy?"
241,Harsh Puniya,"Hey the price of course on udemy is different,is the content same there?
And will you add future videos of this course on udemy too??"
242,ShredzZ,"Hi, do you think is iOS development is good if I want to be full time freelancer or I should choose web as 99% ppl say?"
243,Obinna Bigg,I see how you're using apple wall-garden as an opportunity while we are out here pushing open platform initiative
244,Nitish kumar,"Sir any idea ,when Data science course will start?"
245,Mr.Shinchan5,Fluid series please 
246,Venkatesh Lingampally,Thanks you so much sir.
247,Aniket karode,Surprise gift from Hitesh sir on Ganesh Chaturthi. Thanks sir
248,Kabir Md Atan Suheb,Thanks for this course
249,Mukund Bhatia,just one question can flutter outclass xcode?
250,Praveen Vuddagiri,Sir flutter series please
251,Jayanth,Thanks for providing course for free
252,Hindutava | हिन्दुत्व,when will you start the course?
253,Lokesh Gehlot,Is there any certification?
254,Learning Hub,Very informative sir
255,udesh kavinda,I am looking forward  to this
256,Abhinav,waiting for this for long time
257,Vivek Chudasama,"Sir, I'm curious to know about iOS Development! Does anyone who wants to learn iOS Development have any requirements? I do have MBA M1."
258,Digiheadway business,Your courses is very help full
259,Himanshu Kumar,No iPhone no MacBook Only Windows and Android  That's why I leave it
260,Gaurav Sharma,"Some one please tell me, my friend told me if you make an ios app you cant sideload that app on other iphone so you need a developer program subscription which is like 8000 Rs/ yr."
261,Naresh Kumar,"why ""Ineuron Intelligence ""courses are not available in ""udemy business""?"
262,shivank mishra,"sir, didn't get the seat
please increase some seats.."
263,Forbidden Souls,"Prerequisite: YOU NEED A MAC!
Guys living in 2100 : VM Ware + Mac on windows"
264,Utsav Jogani,"Thank you sir.
Skip this. But 
i need java script course .."
265,Hudaibia Syed,Finally .....
266,Shreshth Srivastava,Great
267,Shubham mankar,iOS development indeed
268,Mr.Shinchan5,Seats available still paid?
269,Doli Pandya,Thanks Hiteshsir
270,Adrian -,"Hitesh Choudhary where can I find a free coupon for your Udemy course called ""Pro Javascript backend developer""?"
271,nagesh rajarapu,hi sir...i want to learn ios from so many days but i didn't get correct resources...advance thank you for this course
272,ram sem,"Is it for absolutely beginners ? 
Because, i don't know Java, kotline flatter."
273,Bhawna Chaudhary,thankyou bhaiya
274,Decent Codder,please increase some more seats I also wanted to start learning ios development
275,Ayush sharma🍁₹,Biotechnology pass out with 2 nd division English language knowledge is very low which course is perfect for me to get a good package job in IT sector B E please help me. Please please
276,Chetan Dhamande,Hello Sir
277,Nikhil,happy ganesh chaturthi sir
278,Nikhil Bhosale,
279,ANKIT RAI,Love 
280,Shyamendra Hazra,Caught up on Instagram yesterday 
281,Sid,"only 500 Rs, you deserve to ask more"
282,satyam sinha,Hi ! Am I eleigible ?
283,Satya mamidisetty,I was having window's laptop but wanted to learn IOS developing can anyone suggest is there any alternative pls
284,Om Londhe,Can’t you make this one lifetime available?
285,Devendra Patel,Don't have Mac OS 
286,Marlin India,Interested
287,MUTHU VALLI 3,First HITESH SIR...
288,Manoj Waghmare,It is showing paid even though there are 200 seats left
289,Aman soni,"Don't need this course, so not gonna Enroll"
290,Humayun Sikander,Can I buy this course from Pakistan?
291,Joshua Rexmond Nunoo Otoo,Second
292,Abdullah,Macbook nhi hai but iphone hai
293,geekofia,I am so sad  that I am the 1001th... LMAO 1008 enrollments right now ....
294,Forbidden Souls,* laughs in hybrid *
295,SajithlalDEV,Is flutter bad for iOS development?
296,Harjot Singh,Sir finally finally you listened me 🥹 earlier when I asked you said their are no plans but surprise really thank you sir
297,OneGoodReason,Was this course going to be available on YouTube or LearnCodeOnline?
298,Sunny Gulati,Thank you so much for your support for the coding community and encouraging ppl more towards coding.
299,Ankit Sharma,"Great Sir. Happy being a LPU Alumni. 
1st Comment."
300,Lakshya Bhasin,"This will be my first hackathon,i have no idea what will happen but I am super excited to come to Jalandhar ."
301,Shyamendra Hazra,Hackathon man of India
302,YouAndImpact,Great initiative 
303,PRITAM PRIYADARSHI,I m Watching your Videos Since 5 Years ...... But Last Year Graduated ...From Lpu....
304,sourabh sharma,"wohhhhaaaaa... finally in punjab.......
its around 50km away..
I will definitely come there .. thanku very much sir ..

Anyone reading this is from Amritsar pls ping me we can team up "
305,Shubham Bhardwaj,hitesh sir i would be happy enough to interact with you
306,Tushar Vaswani,Sir would laptop be provided for hackathon. I have a desktop but not laptop.
307,Anirudh,
308,redCoder,sir Gujarat when? especially Ahmedabad ?
309,Akash Singh,Hi histeh need to join java script bootcamp but i got to know courses already started and hestitating to join the course in between let me know when neq batch will be start? Or what you suggest
310,JAPSIMRAN SINGH,See u there Sir
311,Yaaaa Yeet,anyone wanna team up ? (for web dev.)
312,Ashutosh Bodade,Can outside people also take part in this hackathon or just for lpu alumni
313,Lans Kaba,So excited to meet with you
314,T SONU KUMAR,Any one can participate or only for LPU University students
315,shubham singh,Sir chandigarh university kb aaenge
316,Siva ram,OMG sir putting my life journey msg on your valuable videos more than a job I got this make me so emotional  thank you so much for the work you are always doing for our community keep changing the Life's better (as always let God gives you double of what you give others)️️️
317,Flavoured Flight,"Thanks guruji, you have been my teacher since my starting days in both coding and gym"
318,Ishaan Wadhwa,"Great work Hitesh, wish more people in India contribute the way you are doing. You are a role model for many in the IT industry."
319,Joydeep Debnath,Thanks Hitesh for the course. You are truly doing a great job man 
320,Nidhi Jha,Thank you so much for everything you are doing for the coding community. Love from Delhi 
321,Fkshafar 123,Hitesh thank you to bring affordable education in India.god bless you 
322,kotesh kunapuri,"this is awesom support to the students thanks a lot sir , and i am a big  fan of you for your ideology in Tech education and you are providing the course very low cost compare to the other tech institutes thanks a lot more love you sir ."
323,Venkatesh Lingampally,Thankyou once again for this Hitesh sir I'm looking to take this course on LCO but I'm stuck with my exams. Also missed this chance (I'm out of 1000) but definitely i do take this course ASAP  because I really need this course. Thankyou once again. Hope this reaches you.
324,Devangi Solanki,Thank you so much for providing amazing courses and support to the student (coding)community!!!
325,Dinesh Rout,Thank you sir for this course . My last goal is to help students like me to get tech job apart from becoming an software engineer.
326,Ashish Tyagi Arya,You are doing amazing for the community. Thank you so much for everything. ️
327,Sumanta,"Thankyou Hitesh, you are really awesome, and you are always awesome. I am in Bangalore and due to some of office activity not able to join the offline hackathon, do you have any plan any offline hackathon in next few month and i  really want to meet the Ineuron folks and you especially, let me know if any opportunity is there. and thanks for your support for coding community. Thankyou ."
328,Hussain Bhagat,You are doing some really amazing things. Thank you so much
329,Kishan Aher,Thank you @Hitesh sir to bring this most amezing chance to learn something like this .
330,Vivek Chudasama,"Thank you for everything. Sir, I feel happy to be your student!"
331,Priyanka A,"Thankyou Guruji!! 
Great initiative sir..Excited to learn a new course from you !!"
332,sumit sinha,"Sir great  work!
I just able to avail it sir!
I appreciate the way of explaining things sir."
333,Abhinav Srivastava,Sir you are God for coder community lots of love. 
334,Piyush Sagar,thanks for the free course  I'll do it after my semester end just few weeks to go 
335,parag sawai,"Very Great initiative taken by you Sir.
Very Nice."
336,Vikas 0018,We new developer loves u sir like our father️
337,rAHUL kr,Don't know what to say but at least I can say that Thanks for this free course.
338,Jigar Prajapati,Thanks for every single course. I'm b.com student and learn a lot from YouTube.
339,JBN Treasure,"Thanks a lot, Hitesh for making this free"
340,PRATEEK JHA,Thanks Guru... U r a true Gem.
341,Indranil Kar,What you are doing is amazing !
342,Vaibhav Naik,Thanks for giving this course sir
343,Abhishek C. Pathak,Hats off to you sir..!!
344,Patel Ronak,Thanks sir an amazing courses
345,voice,"Couldn't avail the offer,but I am happy to know from the comment section that many have been benefited .Thank You Sir."
346,Manpreet Dhaliwal,doesn't matter if I get free seat or not but I am sure atleast few of these free seats will go to those who actually can't afford these courses. great personality. it takes very big heart to gives put something for free irrespective of the price.
347,BORN CODER,Sir is the c++ bootcamp course up to date.? Should i enroll in it or is there any new c++ course coming ?
348,shruti math,Thanks Hitesh Sir.. Your just awesome
349,Das p,Thank you for everything!
350,Swarnadeep Ghosh,Please include the course in Udemy Business
351,Rahul Sharma,Thanks you for doing such giveaway
352,Yashwant Mangate,Thanks is just a small word for this one.
353,Masfik Alam,Joined! Thank you so much sir <3
354,Big Data,Best part is that i have completed the course and it's is the pro level course
355,Dev Patel,Thank you sir ️
356,BABA,"You should be a therapist or something...man that voice is so calming its like all the effects of ASMR videos, bhajans, lofi reverbed songs combined.

But thanks for being here for the community. Although I don't understand how do you stay profitable with all this going on especially now with these freebies.
Even though I missed the opportunity of getting this course, I'll be on the lookout for more in the future

I've got no jobs (I'm looking for internships tho :p) or great motivation as such, I just love the work that you're doing.
Thanks again

(Hope I get some job from your courses or challenges, I'll buy you some proper tea...I mean whatever the f is ""ice tea"" huh ;)"
357,Aamir Hussain,Thank you sir ️
358,prathmesh bendbhar,Great Sir
359,Abhishek B,Thanks a lot sir .
360,Edujee,When Will Javascript Full Stack Web development New Session Start
361,Shyamendra Hazra,Feeling great to come this soon
362,Suchit Mukherjeee,Thank you sir for this chance
363,Yugal Korde,Waiting for full stack javascript Web development course new session.
364,Vishwanatha,Thank you Hitesh sir!!!
365,Vivek Vadadoriya,Thank You Sir.
366,Tejaswini Jadhav,Sir can we entroll in ongoing full stack web development course
367,Muhsin MK,Thank You sir 
368,BHASKAR KULKARNI,Thank you very much sir!!!
369,Srikanth Adepu,Thank you for ur free course.
370,Ankit Sharma,Great Sir 
371,Gopal Kannan,Thank you sir.
372,Abish Bangotra,Thanks a lot sir.
373,SYED MINHAJ HUSSAIN,Thankyou Hitesh sir
374,HARDIK PANCHAL,You ar just amazing man
375,Galaina k,Thank you Hitesh Sir
376,gaurav goswami,you are best love you forever my code thanks to you.
377,Chandru RCPM,Thanks man ️
378,CHE tan,Sir is your javascript bootcamp accessible in mobile phone 480ps
379,Mihir Adarsh,"First️, and Thanks a lot for this course. You are the best️️"
380,Fkshafar 123,Thank you sir
381,Rahul Shandil,Thankyou sir
382,vasanth 18-2F9,thank you sir
383,Prem Kumar,Impressive 
384,shannu vk,Thank you!!!
385,chedde saikumar,Thankyou so much sir ji
386,Abhay Tiwari,धन्यवाद  Sir
387,O T CUBE,real gem of coding world
388,Technical Om,Thank You!!
389,098harsha,thank you :)
390,pankajkcodes,"Good Job Sir
 But I'm not getting this course"
391,Jimmy,Thanks a lot..
392,Amandeep Soni,Please talk in detail about be a devops pro course which is going to come on ineuron
393,Amit Ramesh Jaisinghani,Great !!
394,Ravi Mahar,Great 
395,notsure,Thanks 
396,Saurav Kumar,Awesome
397,jayanta das,Love  from Assam
398,Shashwat Deshmukh,
399,Bishal Nandi,️️️
400,CodeInDepth,I want to buy frontend course sirji so when can I except frontend course on udemy.
401,SIDDHARTH SINGH,Missed this one
402,BORN CODER,Hello sir
403,Divash Gupta,
404,Surya Pandey,Coupon code not working.
405,Shreyash Chavan,Aap to bhagwaan ho..
406,MUTHU VALLI 3,First HITESH SIR...
407,Rahul Saw,I've missed out 
408,Noble Niraj,"update the course 
Starting November 28, 2022, free Heroku Dynos, free Heroku Postgres, and free Heroku Data for Redis plans will no longer be available."
409,Gaurav Sharma,Code not working
